id_web;product_id
15298;3847
15296;3849
15300;3850
19814;4032
19815;4039
15303;4040
14975;4041
16042;4042
14980;4043
16041;4045
15269;4046
14977;4047
16044;4048
16043;4049
16449;4050
16045;4051
16030;4052
13127;4053
19816;4054
;4055
16029;4056
16039;4057
16318;4058
16275;4059
16498;4060
16320;4062
16319;4063
15966;4064
15022;4065
15967;4066
15490;4067
16416;4068
11862;4069
15444;4070
15953;4071
12045;4072
13074;4073
15941;4074
16069;4075
13072;4076
15440;4077
13435;4078
13078;4079
13117;4081
16296;4083
16014;4084
16462;4085
16013;4086
16180;4087
;4090
;4092
15676;4094
16120;4095
15564;4096
15675;4097
15378;4098
15813;4099
13416;4100
14905;4101
15767;4102
16505;4103
15683;4104
16504;4105
15787;4106
14800;4107
15353;4108
15382;4115
15339;4130
11668;4132
13209;4137
15341;4138
13217;4139
304;4141
11641;4142
1662;4144
1360;4146
15648;4147
1364;4148
7086;4149
1366;4150
15140;4151
16238;4152
16237;4153
15141;4154
14944;4155
14941;4156
14751;4157
16093;4158
15668;4159
15373;4160
15375;4161
14474;4162
15482;4163
13453;4164
15075;4165
16124;4166
15785;4167
15784;4168
15786;4170
14332;4171
16210;4172
16211;4173
16209;4174
15629;4176
15583;4177
16160;4178
16166;4179
15783;4180
16560;4181
15747;4182
15746;4183
16190;4186
16189;4187
16265;4188
16191;4190
16263;4191
15605;4192
16529;4193
15441;4194
;4195
13032;4196
16256;4197
16322;4198
16295;4200
15656;4201
15655;4202
15415;4203
15414;4204
15413;4205
16023;4207
16024;4208
;4209
15720;4210
15714;4211
15717;4212
15718;4213
15480;4215
15213;4216
15672;4217
12599;4219
15758;4220
15829;4221
15759;4222
16585;4223
15306;4224
16497;4225
15261;4227
12657;4228
15403;4229
15461;4231
16269;4232
;4233
13905;4235
16567;4239
15436;4240
14725;4241
15310;4242
15770;4244
16097;4245
15428;4246
15033;4248
16317;4250
15032;4251
6616;4253
12203;4254
14253;4256
12476;4257
14485;4258
14945;4260
15662;4261
15663;4262
15664;4263
15665;4264
15136;4265
16537;4267
16307;4268
16244;4269
15839;4270
13460;4271
13089;4272
12942;4274
14864;4275
14527;4276
